name,bus,p_nom,p_min_pu,carrier,marginal_cost,ramp_limit_up,ramp_limit_down
NSW1-COAL,NSW1,8270,0.089805825,Black Coal,45,271.76,271.76
NSW1-GAS,NSW1,3278,0.011131863,Gas,105,399,399
NSW1-DIESEL,NSW1,155,0,Diesel,300,552,552
NSW1-HYDRO,NSW1,7122,0,Hydro,8.58,4320,4320
NSW1-SOLAR,NSW1,7329,0,Solar,0,,
NSW1-WIND,NSW1,3212,0,Wind,0,,
QLD1-COAL,QLD1,8119,0.011477411,Black Coal,45,271.76,271.76
QLD1-GAS,QLD1,3202,0.003510972,Gas,105,399,399
QLD1-DIESEL,QLD1,453,0,Diesel,300,552,552
QLD1-HYDRO,QLD1,976,0,Hydro,8.58,4710,4710
QLD1-SOLAR,QLD1,5379,0,Solar,0,,
QLD1-WIND,QLD1,3402,0,Wind,0,,
SA1-DIESEL,SA1,454,0,Diesel,310,552,552
SA1-GAS,SA1,3408,0.024354,Gas,110,399,399
SA1-HYDRO,SA1,2,0,Hydro,8.58,3662.7,3662.7
SA1-SOLAR,SA1,735,0,Solar,0,,
SA1-WIND,SA1,2763,0,Wind,0,,
TAS1-GAS,TAS1,372,0.155914,Gas,110,399,399
TAS1-DIESEL,TAS1,48,0,Diesel,300,552,552
TAS1-HYDRO,TAS1,2356,0,Hydro,8.58,2835,2835
TAS1-SOLAR,TAS1,0,0,Solar,0,,
TAS1-WIND,TAS1,587,0,Wind,0,,
VIC1-COAL,VIC1,4690,0.046908316,Brown Coal,10,312,312
VIC1-GAS,VIC1,2491,0,Gas,110,399,399
VIC1-HYDRO,VIC1,2352,0,Hydro,8.58,2785.8,2785.8
VIC1-SOLAR,VIC1,2034,0,Solar,0,,
VIC1-WIND,VIC1,6044,0,Wind,0,,
NSW1-ROOFTOP-SOLAR,NSW1,5477.45,,Rooftop Solar,0,,
QLD1-ROOFTOP-SOLAR,QLD1,4604.06,,Rooftop Solar,0,,
SA1-ROOFTOP-SOLAR,SA1,1876.61,,Rooftop Solar,0,,
TAS1-ROOFTOP-SOLAR,TAS1,250.94,,Rooftop Solar,0,,
VIC1-ROOFTOP-SOLAR,VIC1,3654.11,,Rooftop Solar,0,,
