scenario,component,bus,carrier,scale_factor,comments
3.1_VreStorageRampGasReduction,generator,NSW1,Black Coal,0.15,Aggressive coal retirements
3.1_VreStorageRampGasReduction,generator,NSW1,Gas,0.9,10% Gas reduction
3.1_VreStorageRampGasReduction,generator,NSW1,Wind,1.5,
3.1_VreStorageRampGasReduction,generator,NSW1,Rooftop Solar,1.3,
3.1_VreStorageRampGasReduction,generator,NSW1,Solar,1.3,
3.1_VreStorageRampGasReduction,storage_unit,NSW1,Battery,4,
3.1_VreStorageRampGasReduction,storage_unit,QLD1,Battery,4,
3.1_VreStorageRampGasReduction,generator,SA1,Gas,0.9,10% Gas reduction
3.1_VreStorageRampGasReduction,generator,SA1,Rooftop Solar,1.3,
3.1_VreStorageRampGasReduction,generator,SA1,Solar,1.3,
3.1_VreStorageRampGasReduction,generator,SA1,Wind,1.5,
3.1_VreStorageRampGasReduction,storage_unit,SA1,Battery,4,
3.1_VreStorageRampGasReduction,generator,VIC1,Brown Coal,0.15,Aggressive coal retirements
3.1_VreStorageRampGasReduction,generator,VIC1,Gas,0.9,10% Gas reduction
3.1_VreStorageRampGasReduction,generator,VIC1,Wind,1.5,
3.1_VreStorageRampGasReduction,generator,VIC1,Rooftop Solar,1.3,
3.1_VreStorageRampGasReduction,generator,VIC1,Solar,1.3,
3.1_VreStorageRampGasReduction,storage_unit,VIC1,Battery,4,
3.2_VreStorageRampGasReduction,generator,NSW1,Black Coal,0.15,Aggressive coal retirements
3.2_VreStorageRampGasReduction,generator,NSW1,Gas,0.75,25% Gas reduction
3.2_VreStorageRampGasReduction,generator,NSW1,Wind,1.5,
3.2_VreStorageRampGasReduction,generator,NSW1,Rooftop Solar,1.3,
3.2_VreStorageRampGasReduction,generator,NSW1,Solar,1.3,
3.2_VreStorageRampGasReduction,storage_unit,NSW1,Battery,4,
3.2_VreStorageRampGasReduction,storage_unit,QLD1,Battery,4,
3.2_VreStorageRampGasReduction,generator,SA1,Gas,0.75,25% Gas reduction
3.2_VreStorageRampGasReduction,generator,SA1,Rooftop Solar,1.3,
3.2_VreStorageRampGasReduction,generator,SA1,Solar,1.3,
3.2_VreStorageRampGasReduction,generator,SA1,Wind,1.5,
3.2_VreStorageRampGasReduction,storage_unit,SA1,Battery,4,
3.2_VreStorageRampGasReduction,generator,VIC1,Brown Coal,0.15,Aggressive coal retirements
3.2_VreStorageRampGasReduction,generator,VIC1,Gas,0.75,25% Gas reduction
3.2_VreStorageRampGasReduction,generator,VIC1,Wind,1.5,
3.2_VreStorageRampGasReduction,generator,VIC1,Rooftop Solar,1.3,
3.2_VreStorageRampGasReduction,generator,VIC1,Solar,1.3,
3.2_VreStorageRampGasReduction,storage_unit,VIC1,Battery,4,
3.3_VreStorageRampGasReduction,generator,NSW1,Black Coal,0.15,Aggressive coal retirements
3.3_VreStorageRampGasReduction,generator,NSW1,Gas,0.5,50% Gas reduction
3.3_VreStorageRampGasReduction,generator,NSW1,Wind,1.5,
3.3_VreStorageRampGasReduction,generator,NSW1,Rooftop Solar,1.3,
3.3_VreStorageRampGasReduction,generator,NSW1,Solar,1.3,
3.3_VreStorageRampGasReduction,storage_unit,NSW1,Battery,4,
3.3_VreStorageRampGasReduction,storage_unit,QLD1,Battery,4,
3.3_VreStorageRampGasReduction,generator,SA1,Gas,0.5,50% Gas reduction
3.3_VreStorageRampGasReduction,generator,SA1,Rooftop Solar,1.3,
3.3_VreStorageRampGasReduction,generator,SA1,Solar,1.3,
3.3_VreStorageRampGasReduction,generator,SA1,Wind,1.5,
3.3_VreStorageRampGasReduction,storage_unit,SA1,Battery,4,
3.3_VreStorageRampGasReduction,generator,VIC1,Brown Coal,0.15,Aggressive coal retirements
3.3_VreStorageRampGasReduction,generator,VIC1,Gas,0.5,50% Gas reduction
3.3_VreStorageRampGasReduction,generator,VIC1,Wind,1.5,
3.3_VreStorageRampGasReduction,generator,VIC1,Rooftop Solar,1.3,
3.3_VreStorageRampGasReduction,generator,VIC1,Solar,1.3,
3.3_VreStorageRampGasReduction,storage_unit,VIC1,Battery,4,
