scenario,component,bus,carrier,scale_factor,comments
8.2.1_6xVreCurtailReview,generator,NSW1,Black Coal,0,Zero coal
8.2.1_6xVreCurtailReview,generator,NSW1,Gas,0.5,50% Gas reduction
8.2.1_6xVreCurtailReview,generator,NSW1,Rooftop Solar,3,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,NSW1,Solar,3,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,NSW1,Wind,6,
8.2.1_6xVreCurtailReview,storage_unit,NSW1,Battery,8,
8.2.1_6xVreCurtailReview,generator,QLD1,Black Coal,0,Zero coal
8.2.1_6xVreCurtailReview,generator,QLD1,Gas,0.5,50% Gas reduction
8.2.1_6xVreCurtailReview,generator,QLD1,Rooftop Solar,3,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,QLD1,Solar,3,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,QLD1,Wind,6,
8.2.1_6xVreCurtailReview,storage_unit,QLD1,Battery,6,
8.2.1_6xVreCurtailReview,generator,SA1,Gas,0.5,50% Gas reduction
8.2.1_6xVreCurtailReview,generator,SA1,Rooftop Solar,2,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,SA1,Solar,3,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,SA1,Wind,2,Was 3
8.2.1_6xVreCurtailReview,storage_unit,SA1,Battery,6,
8.2.1_6xVreCurtailReview,generator,TAS1,Gas,0.5,50% Gas reduction
8.2.1_6xVreCurtailReview,generator,TAS1,Rooftop Solar,3,
8.2.1_6xVreCurtailReview,generator,TAS1,Wind,5,
8.2.1_6xVreCurtailReview,storage_unit,TAS1,Battery,8,
8.2.1_6xVreCurtailReview,generator,VIC1,Gas,0.5,50% Gas reduction
8.2.1_6xVreCurtailReview,generator,VIC1,Brown Coal,0,Zero coal
8.2.1_6xVreCurtailReview,generator,VIC1,Rooftop Solar,4,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,VIC1,Solar,4,Wind-back curtailment
8.2.1_6xVreCurtailReview,generator,VIC1,Wind,4,Wind-back curtailment
8.2.1_6xVreCurtailReview,storage_unit,VIC1,Battery,8,
