scenario,component,bus,carrier,scale_factor,comments
0_2024_baseline_30min,generator,NSW1,Black Coal,1,
0_2024_baseline_30min,generator,NSW1,Rooftop Solar,1,
0_2024_baseline_30min,generator,NSW1,Solar,1,
0_2024_baseline_30min,generator,NSW1,Wind,1,
0_2024_baseline_30min,storage_unit,NSW1,Battery,1,
0_2024_baseline_30min,generator,QLD1,Black Coal,1,
0_2024_baseline_30min,generator,QLD1,Rooftop Solar,1,
0_2024_baseline_30min,generator,QLD1,Solar,1,
0_2024_baseline_30min,generator,QLD1,Wind,1,
0_2024_baseline_30min,storage_unit,QLD1,Battery,1,
0_2024_baseline_30min,generator,SA1,Rooftop Solar,1,
0_2024_baseline_30min,generator,SA1,Solar,1,
0_2024_baseline_30min,generator,SA1,Wind,1,
0_2024_baseline_30min,storage_unit,SA1,Battery,1,
0_2024_baseline_30min,generator,VIC1,Brown Coal,1,
0_2024_baseline_30min,generator,VIC1,Rooftop Solar,1,
0_2024_baseline_30min,generator,VIC1,Solar,1,
0_2024_baseline_30min,generator,VIC1,Wind,1,
0_2024_baseline_30min,storage_unit,VIC1,Battery,1,
8.0_6xVre&Battery_30min,generator,NSW1,Black Coal,0,Zero coal
8.0_6xVre&Battery_30min,generator,NSW1,Gas,1,Baseline Gas
8.0_6xVre&Battery_30min,generator,NSW1,Rooftop Solar,6,
8.0_6xVre&Battery_30min,generator,NSW1,Solar,6,
8.0_6xVre&Battery_30min,generator,NSW1,Wind,6,
8.0_6xVre&Battery_30min,storage_unit,NSW1,Battery,6,
8.0_6xVre&Battery_30min,generator,QLD1,Black Coal,0,Zero coal
8.0_6xVre&Battery_30min,generator,QLD1,Gas,1,Baseline Gas
8.0_6xVre&Battery_30min,generator,QLD1,Rooftop Solar,6,
8.0_6xVre&Battery_30min,generator,QLD1,Solar,6,
8.0_6xVre&Battery_30min,generator,QLD1,Wind,6,
8.0_6xVre&Battery_30min,storage_unit,QLD1,Battery,6,
8.0_6xVre&Battery_30min,generator,SA1,Gas,1,Baseline Gas
8.0_6xVre&Battery_30min,generator,SA1,Rooftop Solar,6,
8.0_6xVre&Battery_30min,generator,SA1,Solar,6,
8.0_6xVre&Battery_30min,generator,SA1,Wind,6,
8.0_6xVre&Battery_30min,storage_unit,SA1,Battery,6,
8.0_6xVre&Battery_30min,generator,TAS1,Gas,1,Baseline Gas
8.0_6xVre&Battery_30min,generator,TAS1,Wind,6,
8.0_6xVre&Battery_30min,storage_unit,TAS1,Battery,6,
8.0_6xVre&Battery_30min,generator,VIC1,Gas,1,Baseline Gas
8.0_6xVre&Battery_30min,generator,VIC1,Brown Coal,0,Zero coal
8.0_6xVre&Battery_30min,generator,VIC1,Rooftop Solar,6,
8.0_6xVre&Battery_30min,generator,VIC1,Solar,6,
8.0_6xVre&Battery_30min,generator,VIC1,Wind,6,
8.0_6xVre&Battery_30min,storage_unit,VIC1,Battery,6,
8.1_6xVre&Battery_30min,generator,NSW1,Black Coal,0,Zero coal
8.1_6xVre&Battery_30min,generator,NSW1,Gas,0.9,10% Gas reduction
8.1_6xVre&Battery_30min,generator,NSW1,Rooftop Solar,6,
8.1_6xVre&Battery_30min,generator,NSW1,Solar,6,
8.1_6xVre&Battery_30min,generator,NSW1,Wind,6,
8.1_6xVre&Battery_30min,storage_unit,NSW1,Battery,6,
8.1_6xVre&Battery_30min,generator,QLD1,Black Coal,0,Zero coal
8.1_6xVre&Battery_30min,generator,QLD1,Gas,0.9,10% Gas reduction
8.1_6xVre&Battery_30min,generator,QLD1,Rooftop Solar,6,
8.1_6xVre&Battery_30min,generator,QLD1,Solar,6,
8.1_6xVre&Battery_30min,generator,QLD1,Wind,6,
8.1_6xVre&Battery_30min,storage_unit,QLD1,Battery,6,
8.1_6xVre&Battery_30min,generator,SA1,Gas,0.9,10% Gas reduction
8.1_6xVre&Battery_30min,generator,SA1,Rooftop Solar,6,
8.1_6xVre&Battery_30min,generator,SA1,Solar,6,
8.1_6xVre&Battery_30min,generator,SA1,Wind,6,
8.1_6xVre&Battery_30min,storage_unit,SA1,Battery,6,
8.1_6xVre&Battery_30min,generator,TAS1,Gas,0.9,10% Gas reduction
8.1_6xVre&Battery_30min,generator,TAS1,Wind,6,
8.1_6xVre&Battery_30min,storage_unit,TAS1,Battery,6,
8.1_6xVre&Battery_30min,generator,VIC1,Gas,0.9,10% Gas reduction
8.1_6xVre&Battery_30min,generator,VIC1,Brown Coal,0,Zero coal
