,QLD1,NSW1,VIC1,SA1,TAS1
2024-01-01 00:00,6053.72,6175.81,3704.32,1260.06,1046.19
2024-01-01 03:00,5722.35,5825.35,3463.42,1097.66,1040.04
2024-01-01 06:00,5673.38,5752.73,2821.2,806.46,1046.54
2024-01-01 09:00,5981.26,6122.05,1900.75,304.18,986.49
2024-01-01 12:00,6163.62,6027.99,2077.36,605.45,1007.88
2024-01-01 15:00,6986.65,7023.15,3459.64,1043.53,1128.2
2024-01-01 18:00,7202.53,7662.95,4532.2,1395.28,1183.04
2024-01-01 21:00,6353.47,7194.03,4097.53,1348.86,1109.34
2024-01-02 00:00,5689.85,6293.65,3696.64,1311.69,1043.44
2024-01-02 03:00,5681.17,6151.85,3672.43,1222.09,1059.64
2024-01-02 06:00,6170.64,6519.63,3733.92,1086.53,1141.55
2024-01-02 09:00,6461.93,6285.62,3028.76,560.29,1023.23
2024-01-02 12:00,6568.5,6751.94,4651.0,502.13,948.07
2024-01-02 15:00,7035.38,8264.67,5239.94,1085.67,1091.82
2024-01-02 18:00,7702.07,8534.36,4700.21,1671.37,1181.04
2024-01-02 21:00,6757.68,7765.76,4199.77,1493.71,1098.52
2024-01-03 00:00,5898.46,6721.05,3845.77,1376.18,1038.57
2024-01-03 03:00,5747.95,6485.71,3848.72,1262.17,1064.36
2024-01-03 06:00,5503.33,6673.42,4338.74,1304.2,1097.03
2024-01-03 09:00,5481.69,6257.4,4371.93,1198.53,1044.21
2024-01-03 12:00,6231.14,7550.54,3887.15,1090.05,1064.88
2024-01-03 15:00,7711.16,8986.44,5067.66,1309.96,1120.31
2024-01-03 18:00,8393.06,8840.04,5266.22,1528.74,1124.42
2024-01-03 21:00,7195.12,7898.09,4388.21,1452.68,1024.26
2024-01-04 00:00,6165.49,6747.33,3840.64,1429.63,980.2
2024-01-04 03:00,5933.09,6586.68,3763.01,1324.16,981.77
2024-01-04 06:00,5893.55,6985.62,4206.1,1434.11,1040.29
2024-01-04 09:00,6044.23,6940.57,3652.93,1182.84,988.59
2024-01-04 12:00,6649.7,8326.17,3009.21,860.78,943.12
2024-01-04 15:00,8322.73,8582.75,4074.88,1339.04,1100.43
2024-01-04 18:00,8888.59,8326.76,4896.86,1769.67,1153.17
2024-01-04 21:00,7480.58,7529.91,4275.14,1594.81,1109.14
2024-01-05 00:00,6318.95,6398.2,3788.76,1458.08,1050.16
2024-01-05 03:00,6123.36,6280.67,3716.62,1334.5,1084.47
2024-01-05 06:00,6193.45,6735.24,3889.46,1273.62,1141.37
2024-01-05 09:00,6449.47,6401.56,3373.4,893.75,1047.6
2024-01-05 12:00,6719.69,6272.56,3657.82,993.08,995.25
2024-01-05 15:00,7993.59,7102.06,4746.06,1661.74,1093.78
2024-01-05 18:00,8385.7,7850.58,5419.45,2082.28,1164.66
2024-01-05 21:00,7283.79,7354.34,4507.16,1734.93,1102.31
2024-01-06 00:00,6230.92,6382.65,3931.81,1526.53,1014.28
2024-01-06 03:00,5935.79,6020.64,3690.01,1375.33,991.63
2024-01-06 06:00,5507.66,5812.13,3279.23,1358.9,1016.54
2024-01-06 09:00,5540.09,5199.45,2845.46,1483.45,890.78
2024-01-06 12:00,5837.92,5241.55,3931.42,1298.07,848.58
2024-01-06 15:00,6828.66,6761.95,5595.36,1055.69,967.58
2024-01-06 18:00,7534.27,7806.33,6055.15,1600.96,1088.28
2024-01-06 21:00,6750.29,7192.84,5167.52,1388.52,975.8
2024-01-07 00:00,5961.28,6242.16,4274.17,1328.19,862.88
2024-01-07 03:00,5675.31,5897.96,3922.7,1194.07,867.85
2024-01-07 06:00,5048.31,5574.1,3875.81,1127.16,913.36
2024-01-07 09:00,4944.22,5059.27,4364.9,1043.64,944.88
2024-01-07 12:00,5505.27,5751.65,4485.17,665.7,1004.1
2024-01-07 15:00,7035.47,7644.65,4713.98,1013.21,1111.32
2024-01-07 18:00,7778.69,8509.43,4824.74,1448.02,1146.84
2024-01-07 21:00,6843.48,7524.94,4512.89,1326.39,1080.16
2024-01-08 00:00,6036.16,6521.62,4077.11,1296.18,1035.82
2024-01-08 03:00,5997.08,6492.66,4039.58,1240.16,1047.34
2024-01-08 06:00,6407.83,7557.13,4945.16,1261.18,1155.26
2024-01-08 09:00,6423.23,7869.16,5205.29,808.27,1158.25
2024-01-08 12:00,6955.48,8173.36,4831.51,525.85,1078.65
2024-01-08 15:00,8094.59,8482.06,4843.02,905.28,1120.61
2024-01-08 18:00,8622.03,8536.88,4837.43,1431.12,1167.14
2024-01-08 21:00,7426.56,7704.69,4334.24,1337.43,1071.96
2024-01-09 00:00,6416.86,6643.55,3929.02,1290.95,993.94
2024-01-09 03:00,6271.78,6623.65,3975.09,1171.01,1015.77
2024-01-09 06:00,6901.37,7439.2,4135.18,1067.36,1096.15
2024-01-09 09:00,6878.0,6889.19,3443.54,469.1,987.72
2024-01-09 12:00,7006.91,7518.67,3433.25,300.61,960.23
2024-01-09 15:00,8458.76,8573.24,4492.72,780.35,1057.14
2024-01-09 18:00,8807.49,8633.34,5431.42,1486.99,1138.59
2024-01-09 21:00,7519.11,7766.84,4714.2,1384.86,1034.89
2024-01-10 00:00,6441.2,6756.87,4164.53,1319.49,969.22
2024-01-10 03:00,6278.0,6781.33,4187.5,1242.99,997.29
2024-01-10 06:00,6607.22,7516.8,4375.58,1125.8,1024.98
2024-01-10 09:00,6413.34,6997.74,3696.59,459.38,919.1
2024-01-10 12:00,7206.97,7714.58,3807.11,382.49,887.78
2024-01-10 15:00,8667.34,9850.71,4676.71,879.03,1016.44
2024-01-10 18:00,8951.44,9938.38,5369.49,1528.66,1107.78
2024-01-10 21:00,7506.18,8351.3,4592.82,1418.87,1032.18
2024-01-11 00:00,6339.66,6993.08,4066.55,1335.1,1001.73
2024-01-11 03:00,6096.73,6975.07,4111.14,1240.63,1027.93
2024-01-11 06:00,6410.4,8141.88,4339.64,1146.14,1067.54
2024-01-11 09:00,6296.83,8199.71,3279.18,606.41,1005.46
2024-01-11 12:00,6452.27,8547.17,3213.98,618.64,975.28
2024-01-11 15:00,7693.22,10326.27,4478.18,1292.19,1108.13
2024-01-11 18:00,8362.52,10214.68,5421.2,1983.57,1198.23
2024-01-11 21:00,7126.94,8582.62,4687.67,1647.97,1110.51
2024-01-12 00:00,6110.95,7214.6,4234.62,1455.49,1050.83
2024-01-12 03:00,5970.43,7113.82,4229.58,1361.35,1097.63
2024-01-12 06:00,6401.21,7932.33,4472.21,1334.89,1099.94
2024-01-12 09:00,6291.74,7757.33,3964.96,1025.09,1051.38
2024-01-12 12:00,6049.21,7962.28,5211.93,1147.42,1074.71
2024-01-12 15:00,7585.97,9558.15,6759.86,1688.67,1180.31
2024-01-12 18:00,8137.04,9680.16,6778.36,2198.73,1235.84
2024-01-12 21:00,7129.03,8440.88,5350.28,1738.64,1103.17
2024-01-13 00:00,6188.01,7020.69,4360.6,1519.02,1014.92
2024-01-13 03:00,5991.22,6653.63,3998.91,1377.2,1008.89
