,NSW1,QLD1,SA1,TAS1,VIC1
2024-01-01 00:00:00,6542.52,6227.86,1301.25,1037.82,3964.45
2024-01-01 00:30:00,6384.3,6167.54,1320.4,1051.53,3869.1
2024-01-01 01:00:00,6208.2,6122.5,1301.16,1056.07,3769.11
2024-01-01 01:30:00,6058.46,6038.43,1263.1,1051.95,3616.13
2024-01-01 02:00:00,5956.78,5918.72,1206.06,1048.55,3522.7
2024-01-01 02:30:00,5904.58,5847.26,1168.42,1031.23,3484.42
2024-01-01 03:00:00,5829.18,5780.12,1124.11,1041.75,3426.83
2024-01-01 03:30:00,5814.51,5739.19,1112.55,1048.04,3440.42
2024-01-01 04:00:00,5813.48,5751.56,1092.52,1045.75,3479.25
2024-01-01 04:30:00,5847.98,5719.67,1094.94,1028.71,3489.18
2024-01-01 05:00:00,5842.84,5690.81,1090.48,1036.55,3505.65
2024-01-01 05:30:00,5804.12,5652.76,1071.38,1039.42,3439.22
2024-01-01 06:00:00,5696.35,5605.88,1061.8,1042.3,3328.02
2024-01-01 06:30:00,5700.44,5626.69,974.63,1041.38,3144.34
2024-01-01 07:00:00,5690.12,5636.72,863.91,1041.84,2936.93
2024-01-01 07:30:00,5608.16,5666.2,740.51,1056.05,2738.9
2024-01-01 08:00:00,5842.73,5750.44,658.96,1051.74,2509.43
2024-01-01 08:30:00,5978.57,5754.33,538.94,1045.93,2269.58
2024-01-01 09:00:00,6066.83,5827.09,414.31,1036.89,2184.82
2024-01-01 09:30:00,6146.46,5866.93,305.13,1007.57,2032.98
2024-01-01 10:00:00,6177.66,5889.08,254.45,997.67,1880.26
2024-01-01 10:30:00,6120.15,6041.58,246.54,961.35,1795.75
2024-01-01 11:00:00,6136.86,6112.2,271.74,954.37,1759.46
2024-01-01 11:30:00,6084.36,6150.65,332.91,961.1,1751.2
2024-01-01 12:00:00,5942.35,6129.33,524.68,974.96,1789.79
2024-01-01 12:30:00,5889.08,5984.34,562.28,989.75,1875.71
2024-01-01 13:00:00,6029.72,6006.03,435.65,986.85,2001.96
2024-01-01 13:30:00,6005.7,6105.73,602.36,1011.04,2106.7
2024-01-01 14:00:00,6098.45,6316.45,773.59,1026.19,2278.81
2024-01-01 14:30:00,6202.66,6439.82,734.12,1058.49,2411.17
2024-01-01 15:00:00,6420.81,6554.1,711.6,1081.14,2734.16
2024-01-01 15:30:00,6645.96,6830.11,923.94,1094.79,3061.24
2024-01-01 16:00:00,6894.5,6894.76,1114.38,1107.77,3231.62
2024-01-01 16:30:00,7193.99,7074.46,1139.71,1145.29,3537.62
2024-01-01 17:00:00,7428.42,7227.97,1128.42,1161.87,3932.36
2024-01-01 17:30:00,7555.25,7338.48,1243.12,1178.32,4260.81
2024-01-01 18:00:00,7633.58,7294.28,1295.87,1190.09,4529.82
2024-01-01 18:30:00,7715.94,7374.24,1327.22,1185.42,4590.16
2024-01-01 19:00:00,7745.73,7323.53,1389.58,1181.72,4586.64
2024-01-01 19:30:00,7745.44,7174.48,1460.27,1188.47,4537.8
2024-01-01 20:00:00,7620.4,7097.85,1456.96,1181.18,4535.22
2024-01-01 20:30:00,7516.61,6950.8,1441.77,1171.36,4413.56
2024-01-01 21:00:00,7431.38,6767.78,1431.69,1163.86,4225.52
2024-01-01 21:30:00,7330.15,6590.8,1394.53,1141.16,4147.55
2024-01-01 22:00:00,7269.49,6415.47,1342.18,1111.8,4053.32
2024-01-01 22:30:00,7196.58,6248.75,1303.79,1093.69,3985.52
2024-01-01 23:00:00,7016.76,6109.38,1274.08,1088.0,4072.13
2024-01-01 23:30:00,6919.81,5988.63,1346.92,1057.54,4101.13
2024-01-02 00:00:00,6707.84,5852.64,1352.41,1062.23,3951.97
2024-01-02 00:30:00,6524.38,5783.6,1364.36,1054.3,3817.72
2024-01-02 01:00:00,6331.97,5717.3,1347.57,1044.03,3731.78
2024-01-02 01:30:00,6153.5,5644.04,1292.32,1045.76,3618.09
2024-01-02 02:00:00,6053.04,5586.2,1264.96,1044.48,3554.59
2024-01-02 02:30:00,5991.19,5555.31,1248.49,1009.84,3505.72
2024-01-02 03:00:00,5949.86,5567.34,1217.91,998.8,3493.79
2024-01-02 03:30:00,5982.83,5580.71,1200.22,1030.72,3531.36
2024-01-02 04:00:00,6078.39,5601.49,1190.03,1050.45,3595.9
2024-01-02 04:30:00,6170.56,5696.5,1213.04,1066.01,3686.86
2024-01-02 05:00:00,6315.33,5784.05,1249.9,1097.02,3823.08
2024-01-02 05:30:00,6414.11,5856.96,1261.46,1114.83,3903.56
2024-01-02 06:00:00,6576.57,6031.76,1266.26,1136.41,3961.24
2024-01-02 06:30:00,6563.95,6149.87,1241.47,1158.95,3984.78
2024-01-02 07:00:00,6564.93,6249.28,1168.79,1157.88,3941.24
2024-01-02 07:30:00,6536.69,6265.96,1075.72,1150.86,3768.6
2024-01-02 08:00:00,6478.82,6153.23,943.25,1127.0,3560.04
