INTERVAL_DATETIME,NSW1,QLD1,SA1,TAS1,VIC1
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,28.042,15.611,0.0,4.268,14.91
2024-01-01 06:00:00,362.145,198.076,42.782,29.672,260.146
2024-01-01 07:00:00,902.32,539.786,258.869,72.178,843.278
2024-01-01 08:00:00,1468.041,905.373,625.266,103.81,1563.095
2024-01-01 09:00:00,1678.826,1254.144,971.174,134.336,2203.753
2024-01-01 10:00:00,1819.102,1435.992,1209.19,160.024,2653.905
2024-01-01 11:00:00,2080.582,1363.778,1276.676,184.226,2917.083
2024-01-01 12:00:00,2232.252,1395.032,1145.892,177.104,3008.011
2024-01-01 13:00:00,2112.29,1465.272,1118.667,170.696,2909.616
2024-01-01 14:00:00,1976.812,1316.007,869.547,137.453,2664.504
2024-01-01 15:00:00,1669.045,1067.053,825.796,89.628,2318.715
2024-01-01 16:00:00,1272.941,642.066,505.857,69.604,1836.59
2024-01-01 17:00:00,826.306,345.942,414.751,49.686,1302.855
2024-01-01 18:00:00,326.953,87.48,271.832,22.523,564.756
2024-01-01 19:00:00,29.933,2.379,94.28,7.021,130.159
2024-01-01 20:00:00,0.0,0.0,2.806,0.084,1.522
2024-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 05:00:00,50.804,3.886,0.0,1.627,6.086
2024-01-02 06:00:00,496.066,126.274,34.113,9.77,154.492
2024-01-02 07:00:00,1336.044,430.106,236.868,32.996,527.048
2024-01-02 08:00:00,2079.502,1008.804,578.426,62.037,1182.686
2024-01-02 09:00:00,2613.83,1372.021,955.094,92.326,1948.798
2024-01-02 10:00:00,3021.422,1520.707,1216.744,121.184,2306.529
2024-01-02 11:00:00,3361.365,1251.938,1389.947,129.933,2525.386
2024-01-02 12:00:00,3411.935,1311.984,1489.04,146.724,2373.143
2024-01-02 13:00:00,3285.602,1394.701,1512.288,158.908,1603.819
2024-01-02 14:00:00,3002.377,1468.754,1497.848,148.338,758.867
2024-01-02 15:00:00,2554.73,1402.282,1419.508,120.496,464.18
2024-01-02 16:00:00,1894.584,1148.644,1174.803,100.667,289.017
2024-01-02 17:00:00,916.354,655.412,835.489,60.606,198.81
2024-01-02 18:00:00,353.89,222.834,450.098,27.792,116.889
2024-01-02 19:00:00,34.25,7.976,118.132,11.518,39.13
2024-01-02 20:00:00,0.0,0.0,6.189,0.246,2.375
2024-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 05:00:00,41.13,19.921,0.0,1.748,6.0
2024-01-03 06:00:00,530.056,390.156,23.516,15.605,142.996
2024-01-03 07:00:00,1505.225,1266.876,146.826,47.297,411.652
2024-01-03 08:00:00,2466.399,2197.283,200.025,100.097,668.141
2024-01-03 09:00:00,3245.262,2742.802,263.785,150.805,1008.984
2024-01-03 10:00:00,3758.564,2958.779,387.06,170.83,1083.704
2024-01-03 11:00:00,3950.281,2969.02,631.123,184.791,1326.662
2024-01-03 12:00:00,3885.661,2656.302,786.026,166.728,1661.744
2024-01-03 13:00:00,3585.84,2631.416,715.562,121.089,1930.102
2024-01-03 14:00:00,2448.994,2784.928,676.173,126.011,2160.201
2024-01-03 15:00:00,1681.855,2419.042,660.382,110.442,1983.101
2024-01-03 16:00:00,1339.625,1865.382,486.678,80.434,1265.704
2024-01-03 17:00:00,838.078,1100.85,381.432,28.71,743.694
2024-01-03 18:00:00,389.794,282.858,187.327,10.208,418.319
2024-01-03 19:00:00,45.424,5.588,61.162,4.069,124.882
2024-01-03 20:00:00,0.0,0.0,2.428,0.178,2.392
2024-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 05:00:00,38.535,20.044,0.0,2.48,4.412
2024-01-04 06:00:00,474.941,432.047,9.49,22.882,103.0
2024-01-04 07:00:00,1331.062,1331.451,55.822,48.052,312.059
2024-01-04 08:00:00,1965.686,2104.024,175.07,75.462,658.892
2024-01-04 09:00:00,2715.349,2194.444,338.389,118.43,1056.488
2024-01-04 10:00:00,3201.953,2770.656,582.454,140.422,1458.933
2024-01-04 11:00:00,3156.51,3214.486,643.764,158.24,1815.194
2024-01-04 12:00:00,2547.06,3247.016,992.175,178.734,2205.218
2024-01-04 13:00:00,1754.032,3223.616,1219.851,161.422,2581.056
2024-01-04 14:00:00,1438.662,2944.904,1213.787,181.816,2506.42
2024-01-04 15:00:00,1043.082,2472.525,1107.94,123.714,2296.105
2024-01-04 16:00:00,798.322,1768.549,961.659,80.073,1813.28
2024-01-04 17:00:00,558.12,934.052,609.4,54.413,1092.604
2024-01-04 18:00:00,232.656,249.129,308.936,29.158,483.014
2024-01-04 19:00:00,29.568,4.145,131.364,9.34,120.516
2024-01-04 20:00:00,0.0,0.0,17.45,0.269,1.709
2024-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 03:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 04:00:00,0.0,0.0,0.0,0.0,0.0
2024-01-05 05:00:00,31.757,12.959,0.0,1.884,9.778
2024-01-05 06:00:00,430.71,387.766,22.323,13.634,208.39
2024-01-05 07:00:00,1095.144,1256.33,190.166,43.908,663.563
2024-01-05 08:00:00,1699.406,1930.978,538.166,95.787,1210.518
2024-01-05 09:00:00,2211.618,2118.648,922.498,133.697,1734.859
2024-01-05 10:00:00,2523.542,2516.196,1161.792,165.786,2247.612
2024-01-05 11:00:00,2970.76,2716.562,1378.701,185.712,2511.538
2024-01-05 12:00:00,2905.338,2991.548,1458.586,199.796,2426.096
2024-01-05 13:00:00,2961.554,2917.178,1460.206,203.296,2483.984
2024-01-05 14:00:00,2739.678,2538.275,1391.898,192.147,2524.942
2024-01-05 15:00:00,2392.347,2259.68,1273.162,173.64,2347.328
2024-01-05 16:00:00,2054.226,1615.116,1067.063,139.876,1950.584
2024-01-05 17:00:00,1252.492,848.56,732.962,95.098,1369.412
2024-01-05 18:00:00,515.505,302.725,330.634,45.598,672.684
2024-01-05 19:00:00,52.007,4.478,106.942,10.684,155.786
2024-01-05 20:00:00,0.0,0.0,4.992,0.311,2.57
