snapshot,NSW1-COAL,NSW1-GAS,NSW1-DIESEL,NSW1-HYDRO,NSW1-SOLAR,NSW1-WIND,QLD1_COAL,QLD1-GAS,QLD1-HYDRO,QLD1-SOLAR,QLD1-WIND,SA1-DIESEL,SA1-GAS,SA1-HYDRO,SA1-SOLAR,SA1-WIND,TAS1-GAS,TAS1-HYDRO,TAS1-SOLAR,TAS1-WIND,VIC1-COAL,VIC1-GAS,VIC1-HYDRO,VIC1-SOLAR,VIC1-WIND
2024-01-01 00:00:00,2140.76295,-0.0,-0.0,411.4278,-0.0,1611.21925,5858.473,-0.0,307.867,-0.0,881.36,-0.0,-0.0,1.44,-0.0,1094.1678,54.9134160000001,519.766584,-0.0,-0.0,4302.18278,-0.0,335.9452,-0.0,1443.85422
2024-01-01 01:00:00,1938.9545500000002,-0.0,-0.0,339.5912,-0.0,1554.78425,5618.135,-0.0,306.425,-0.0,1005.9,-0.0,-0.0,1.44,-0.0,964.30445,68.23677199999997,515.207228,-0.0,0.566,4011.1813499999994,-0.0,438.0907,-0.0,1509.7335
2024-01-01 02:00:00,1810.1136000000004,-0.0,-0.0,336.3259,-0.0,1484.2405,5469.518,-0.0,307.867,-0.0,955.605,-0.0,-0.0,1.44,-0.0,820.62585,28.143484000000058,506.088516,-0.0,35.658,4148.04865,-0.0,188.4017,-0.0,1482.2838
2024-01-01 03:00:00,1774.2055500000004,-0.0,-0.0,339.5912,-0.0,1408.05325,5465.938,-0.0,307.867,-0.0,835.855,-0.0,-0.0,1.44,-0.0,804.04755,31.518196000000046,496.969804,-0.0,46.412,4281.588589999999,-0.0,20.4291,-0.0,1394.44476
2024-01-01 04:00:00,1820.2118499999995,-0.0,-0.0,336.3259,-0.0,1374.19225,5260.599,-0.0,307.146,-0.0,1017.875,-0.0,-0.0,1.44,-0.0,839.9672,16.349094000000036,517.486906,-0.0,33.394,4512.26616,-0.0,15.8893,-0.0,1158.37734
2024-01-01 05:00:00,1679.8606499999994,-0.0,-0.0,339.5912,186.2709,1317.75725,5131.5229899999995,-0.0,307.867,26.19501,1056.195,-0.0,-0.0,1.44,0.7378,823.3889,-0.0,588.156924,-0.0,14.716,4584.890328085106,-0.0,4.5398,30.1142,1021.12884
2024-01-01 06:00:00,65.15128000000033,-0.0,-0.0,339.5912,1763.36452,1230.283,5022.37452,-0.0,257.397,384.19348,802.325,-0.0,-0.0,1.44,92.225,770.89095,-0.0,588.156924,-0.0,10.754,4010.430104680851,-0.0,-0.0,444.18445,856.43064
2024-01-01 07:00:00,-0.0,-0.0,-0.0,339.5912,3141.76918,1013.00825,3311.4265900000014,-0.0,307.146,1170.04378,567.615,-0.0,-0.0,1.44,289.2176,472.48155,-0.0,592.71628,-0.0,-0.0,3670.7959712765955,-0.0,-0.0,647.4553,494.0946
2024-01-01 08:00:00,-0.0,-0.0,-0.0,339.5912,3477.0568,838.05975,2500.7552750000004,-0.0,307.867,2117.429975,632.28,-0.0,-0.0,1.44,216.1754,243.1484,-0.0,610.953704,-0.0,-0.0,3818.366195106384,-0.0,-0.0,411.05883,214.10766
2024-01-01 09:00:00,-0.0,-0.0,-0.0,352.6524,3626.07352,643.359,2365.8722650000004,-0.0,307.146,2571.476815,637.07,-0.0,-0.0,1.44,119.5236,77.3654,-0.0,597.275636,-0.0,-0.0,3860.4342106382974,-0.0,-0.0,268.01638,43.91952
