Scenario,Objective,Total System Cost (B$),Total New Capacity (GW),Gas Generation (GWh),Wind & Solar Curtailment (GWh),Unserved Energy (GWh),Unserved by Region (GWh)
0_2024_baseline,"NSW1-Black Coal: x1.0
NSW1-Rooftop Solar: x1.0
NSW1-Solar: x1.0
NSW1-Wind: x1.0
NSW1-Battery: x1.0
QLD1-Black Coal: x1.0
QLD1-Rooftop Solar: x1.0
QLD1-Solar: x1.0
QLD1-Wind: x1.0
QLD1-Battery: x1.0
SA1-Rooftop Solar: x1.0
SA1-Solar: x1.0
SA1-Wind: x1.0
SA1-Battery: x1.0
VIC1-Brown Coal: x1.0
VIC1-Rooftop Solar: x1.0
VIC1-Solar: x1.0
VIC1-Wind: x1.0
VIC1-Battery: x1.0",4.83,95.454,5558.483,6435.742,149.369,"{'NSW1': 0.0, 'QLD1': 0.0, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 0.0}"
1_BalancedTransition,"NSW1-Black Coal: x0.5
NSW1-Rooftop Solar: x1.2
NSW1-Solar: x1.2
NSW1-Wind: x1.25
NSW1-Battery: x1.5
QLD1-Black Coal: x0.5
QLD1-Rooftop Solar: x1.2
QLD1-Solar: x1.2
QLD1-Wind: x1.25
QLD1-Battery: x1.5
SA1-Rooftop Solar: x1.2
SA1-Solar: x1.2
SA1-Wind: x1.25
SA1-Battery: x1.5
VIC1-Brown Coal: x0.5
VIC1-Rooftop Solar: x1.2
VIC1-Solar: x1.2
VIC1-Wind: x1.25
VIC1-Battery: x1.5",5.706,98.828,12617.85,11207.027,229.742,"{'NSW1': 4.737, 'QLD1': 0.0, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 75.636}"
2_BalancedAggressiveTransition,"NSW1-Black Coal: x0.25
NSW1-Rooftop Solar: x1.25
NSW1-Solar: x1.25
NSW1-Wind: x1.3
NSW1-Battery: x2.0
QLD1-Black Coal: x0.25
QLD1-Rooftop Solar: x1.25
QLD1-Solar: x1.25
QLD1-Wind: x1.3
QLD1-Battery: x2.0
SA1-Rooftop Solar: x1.25
SA1-Solar: x1.25
SA1-Wind: x1.3
SA1-Battery: x2.0
VIC1-Brown Coal: x0.25
VIC1-Rooftop Solar: x1.25
VIC1-Solar: x1.25
VIC1-Wind: x1.3
VIC1-Battery: x2.0",21.549,103.758,28179.883,10984.346,1725.3,"{'NSW1': 956.233, 'QLD1': 8.216, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 611.482}"
3.0_VreStorageRampTransition,"NSW1-Black Coal: x0.15
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",23.734,105.829,28330.409,9490.376,1986.439,"{'NSW1': 1062.817, 'QLD1': 3.854, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 770.399}"
3.1_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.9
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.9
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.9
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.9
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",31.079,107.26,27411.374,9431.736,2727.682,"{'NSW1': 1512.509, 'QLD1': 17.343, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 1048.461}"
3.2_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.75
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.75
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.75
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.75
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",45.166,107.1,25569.2,9344.196,4146.57,"{'NSW1': 2360.41, 'QLD1': 107.017, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 1529.774}"
3.3_VreStorageRampGasReduction,"NSW1-Black Coal: x0.15
NSW1-Gas: x0.5
NSW1-Rooftop Solar: x1.3
NSW1-Solar: x1.3
NSW1-Wind: x1.5
NSW1-Battery: x4.0
QLD1-Black Coal: x0.15
QLD1-Gas: x0.5
QLD1-Rooftop Solar: x1.3
QLD1-Solar: x1.3
QLD1-Wind: x1.5
QLD1-Battery: x4.0
SA1-Gas: x0.5
SA1-Rooftop Solar: x1.3
SA1-Solar: x1.3
SA1-Wind: x1.5
SA1-Battery: x4.0
VIC1-Brown Coal: x0.15
VIC1-Gas: x0.5
VIC1-Rooftop Solar: x1.3
VIC1-Solar: x1.3
VIC1-Wind: x1.5
VIC1-Battery: x4.0",84.501,106.266,20603.388,9201.621,8109.663,"{'NSW1': 4363.431, 'QLD1': 888.643, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 2708.22}"
4_4xVreTransitionZeroCoal,"NSW1-Black Coal: x0.0
NSW1-Rooftop Solar: x2.0
NSW1-Solar: x4.0
NSW1-Wind: x4.0
NSW1-Battery: x4.0
QLD1-Black Coal: x0.0
QLD1-Rooftop Solar: x2.0
QLD1-Solar: x4.0
QLD1-Wind: x4.0
QLD1-Battery: x4.0
SA1-Rooftop Solar: x2.0
SA1-Solar: x4.0
SA1-Wind: x4.0
SA1-Battery: x4.0
VIC1-Brown Coal: x0.0
VIC1-Rooftop Solar: x2.0
VIC1-Solar: x4.0
VIC1-Wind: x4.0
VIC1-Battery: x4.0",14.469,198.087,13497.84,133640.5,1296.453,"{'NSW1': 747.253, 'QLD1': 9.21, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 390.62}"
5_5xVreTransitionZeroCoal,"NSW1-Black Coal: x0.0
NSW1-Rooftop Solar: x2.0
NSW1-Solar: x5.0
NSW1-Wind: x5.0
NSW1-Battery: x4.0
QLD1-Black Coal: x0.0
QLD1-Rooftop Solar: x2.0
QLD1-Solar: x5.0
QLD1-Wind: x5.0
QLD1-Battery: x4.0
SA1-Rooftop Solar: x2.0
SA1-Solar: x5.0
SA1-Wind: x5.0
SA1-Battery: x4.0
VIC1-Brown Coal: x0.0
VIC1-Rooftop Solar: x2.0
VIC1-Solar: x5.0
VIC1-Wind: x5.0
VIC1-Battery: x4.0",10.91,224.994,10387.629,186537.379,974.589,"{'NSW1': 537.689, 'QLD1': 3.403, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 284.128}"
6.0_6xVreTransitionZeroCoal,"NSW1-Black Coal: x0.0
NSW1-Rooftop Solar: x2.0
NSW1-Solar: x6.0
NSW1-Wind: x6.0
NSW1-Battery: x4.0
QLD1-Black Coal: x0.0
QLD1-Rooftop Solar: x2.0
QLD1-Solar: x6.0
QLD1-Wind: x6.0
QLD1-Battery: x4.0
SA1-Rooftop Solar: x2.0
SA1-Solar: x6.0
SA1-Wind: x6.0
SA1-Battery: x4.0
VIC1-Brown Coal: x0.0
VIC1-Rooftop Solar: x2.0
VIC1-Solar: x6.0
VIC1-Wind: x6.0
VIC1-Battery: x4.0",8.701,254.894,8419.286,235595.65,775.183,"{'NSW1': 406.882, 'QLD1': 0.499, 'SA1': 0.0, 'TAS1': 149.369, 'VIC1': 218.432}"
